C1	26.69	37.75	0.00	100u	C1206
C10	6.09	14.72	0.00	1n	C0603
C11	12.69	16.42	180.00	3.3n	C0603
C12	12.69	19.00	180.00	22n	C0603
C13	6.02	24.01	180.00	1u	C1206
C2	14.59	37.53	180.00	1u	C1206
C3	27.58	35.40	0.00	0.1u	C0603
C4	48.05	34.56	270.00	2.2u	C1206
C5	39.05	34.61	270.00	4.7u	C1206
C6	49.26	24.60	0.00	100p	C0603
C7	16.20	15.02	0.00	30p	C0603
C8	44.61	24.63	180.00	4.7u	C1206
C9	2.98	10.33	90.00	22n	C0603
F1	27.05	41.02	180.00	100mA	1812
IC1	16.20	11.25	270.00	LM308D	SO08
R1	22.02	40.72	270.00	47	R0603
R10	16.13	17.70	180.00	1.5k	R0603
R11	12.69	21.48	180.00	1M	R0603
R12	12.69	24.06	180.00	10k	R0603
R13	27.50	8.64	180.00	1k	R0603
R2	18.91	39.80	0.00	100k	R0603
R3	15.56	39.80	0.00	100k	R0603
R4	47.14	30.60	180.00	47	R0603
R5	39.95	30.62	0.00	560	R0603
R6	40.15	24.60	180.00	1k	R0603
R7	3.00	13.84	90.00	1k	R0603
R8	6.13	12.18	180.00	1M	R0603
R9	6.11	9.58	180.00	1M	R0603
